"Txhash","UnixTimestamp","DateTime","From","To","Value","ContractAddress","TokenName","TokenSymbol"
"0xd6ae1025fda9201003c24ac8e0db3d9d6ef61f87dd557a914a9862052c757874","1549713881","2019-02-09 12:04:41","0xfeda60643713afe689063a64651fc3bff34a7208","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH",""
"0xfebefd8ee6e0c133f6d8ea0f58bc8cae9e0aec7b6116828bd8ee719f52eeadcb","1549793888","2019-02-10 10:18:08","0xbb530108497bd5007b74443119a8de8f33cc98bf","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.99","0xc3761eb917cd790b30dad99f6cc5b4ff93c4f9ea","ERC20","ERC20",""
"0x908681ccb88c31a0f85df9a9c677b55c86dabb174bbcb56eff2f7e06eedbe280","1555336412","2019-04-15 13:53:32","0x7381d09a8bde146c2472500203fd924fac0669a9","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","1","0xb6ed7644c69416d67b522e20bc294a9a9b405b31","0xBitcoin Token","0xBTC",""
"0xa0c6899edcbea4f2f13fec477265496ea1c1299da7d2003f9002650cbbedb3a0","1557467284","2019-05-10 05:48:04","0x62562c244b66ec16756f59ccb4d450d36983e5e7","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","8,570","0x7c5cb1220bd293ff9cf903915732e51a71292038","YottaLing","YTL",""
"0x5687d6200c1322a4d92598600a3a54ac4ab7680c09240b31b41d661fe389c564","1557491758","2019-05-10 12:35:58","0x53ddfb32cb24b0712110455c77baf127a30e413a","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.03024841","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0xc5bd0d44e17774c0e76b63d458e717eb38a300f6114a685d49d3d9d41fa4aec9","1562106227","2019-07-02 22:23:47","0x6988f4462294f86b3a8e0aeb75dad2351f152000","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0xe31a6ba751819e6dfb43c84101dfeeada01931fcf034d92a2a9fede675a89066","1563354489","2019-07-17 09:08:09","0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.0004","0xd110bb8a24b100c37af7310416e685af807c1f10","VODA TOKEN","WDT",""
"0x216a15511172e4291457caad715c25de5a1578af8b2bd75656a6f9e9a838dc73","1563698225","2019-07-21 08:37:05","0x29bc2188262477707becab36dcb3b2a466ec076f","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.00970413","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0x2be00147c0b9965818e918de779defac7269f8c0e17c712d3744a3bc5e50b3fa","1565689299","2019-08-13 09:41:39","0x23c6b63b03b6ab1b7d857d97422148754ebca7c6","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","19,414","0x7c5cb1220bd293ff9cf903915732e51a71292038","YottaLing","YTL",""
"0x9e933b25617ff7c820e32cc7499f245c7a68526dd6364e2af079b8eed2bb34d5","1573624630","2019-11-13 05:57:10","0x908e99085a30946a889e033c89dce9fc063fb3bc","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","25","0x5ceb8c7f189e694b326310694ac6df98e5ced66e","Yattaqi","YAT",""
"0x4fdaaa1cd706b107976bc0496514df82c7999b1d749ac0ab823a0e5a5e7a0d56","1580635427","2020-02-02 09:23:47","0xcb4db1e1724891978746a82207ef7bd2b504886d","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","1","0xac9bb427953ac7fddc562adca86cf42d988047fd","Scatter.cx","STT",""
"0xb8dce1c36e40583a20046e36d76b98a1dc841a2c0dc1b0c88d18a0980bbfd0d2","1584429647","2020-03-17 07:20:47","0xbe39557e41425341711e594d51d130c765791f83","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.001","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0xb3fa3c2ad553639e3011d5bdd71cc35b0ff1b9f94eec3bb3c5d87d07718fd737","1588132685","2020-04-29 03:58:05","0xb5d1c37ac2c8feee5c065f13acf3c26f6f561a0e","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.028","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH",""
"0xb288b357dcf05c5e787b2742080e1779ce7868501b6e341ec8fad6159fc662f4","1592988339","2020-06-24 08:45:39","0xa1a32679bdb04e8f969429c396547a69ca1c353b","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.00015498","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0x9daea82352f925ba83f07dfb0e8c0cf23f5fa97f834f3574b2206aa3aeb4cd93","1594500493","2020-07-11 20:48:13","0xe00c1cfda434783a72f08bb1244b1f6cd5f75d0b","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0xec69c1db9c4d7cd0358b985b835afbc437e7dcb962a734bab471c99567c95174","1595791652","2020-07-26 19:27:32","0x111b46246ba9bf46ef15dca39ab7775897271951","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.05405733","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0xcad83503e80f89b5cd1fc36795a0f7ab505c623254696525b4603b51a8f70840","1595817483","2020-07-27 02:38:03","0x9ec56bbe01712b06650b86154c146cc412d58661","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","2.04843955","0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5","Compound Ether","cETH",""
"0xc461e51ffe5876604070344dad55a6c6c9d6ef18a8e759322d7f393913bd19af","1597169204","2020-08-11 18:06:44","0xd1669ac6044269b59fa12c5822439f609ca54f41","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.0000037","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0x1d47e73b45591aedf0e3b173ae796b8f604e318883472a8946be0425ea416bfe","1599773279","2020-09-10 21:27:59","0x5b19b01d96c518d4ea9825d03be7a47453e63f47","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0xfbf5d77ac175a7e3f1e9f30dfd734ad5f7a58fd9efa97ce9296dea9f202aa9e5","1600570287","2020-09-20 02:51:27","0x382126c0849d6f62ebc49c3732394ecc482f0767","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","8.793148","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0xb0b3e99006c433e68509fe2bd6b685d79e10a3a3fe7c93dba620f2b20d7b98f7","1600720890","2020-09-21 20:41:30","0x2b5634c42055806a59e9107ed44d43c426e58258","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","96","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0x9ea51135bf808d87c03788b73b4d6347db2c470a44bc35d2de9241dc6ccb6a8c","1602265949","2020-10-09 17:52:29","0x0fc8b320c1723176b6ac24f77dbbcebdd502335f","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","7.6542","0x792348668c8d4b640bb7c09d7127234d4c29053e","YFIN STAKE","YFIN",""
"0x205ec6a3c7864795b6b02c29ecba070b5330b31f4740b1b0f1f69445cfd1f653","1602830169","2020-10-16 06:36:09","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.00134994","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0x8443186a78a3c5335979db7502f70506c3b46e185d76a63b26daf49f4eda9225","1602929934","2020-10-17 10:18:54","0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.01","0x6051c1354ccc51b4d561e43b02735deae64768b8","yRise.Finance","yRise",""
"0xfbc6d2d99def1a99c5d93b60c29cff7f41847c32dbb98b3356d08d2ddcc87524","1603092253","2020-10-19 07:24:13","0x70bda5a9130a93541960320a09812da1cdaf38f2","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","99,999","0x70bda5a9130a93541960320a09812da1cdaf38f2","WCDS挖头矿在即，全新DeFi资管平台WcdSwap即将创世挖矿，持WCDS/WBTC的LPtoken的用户，可竞享百倍收益！","WCDS挖头矿在即，全新DeFi资管平台WcdSwap即将创世挖矿，持WCDS/WBTC的LPtok",""
"0x3412ef94d7fc5e1e2ec4ab97d1ee7ed01352de2a5c18923e698771d7e4764336","1603201061","2020-10-20 13:37:41","0x46340b20830761efd32832a74d7169b29feb9758","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.006868","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0xb0fb97ae17cf78523749faa9d1630e636960ec0a261f300d2ba977e699fa40e8","1603290342","2020-10-21 14:25:42","0x617e1eeddc9953beabdf21e03b8ecc1cfdc39149","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.07854583","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0x73de4082c37c45e4b4689126b0a62773de3d4cdfc70f9d13cea690c3e268244d","1603510055","2020-10-24 03:27:35","0xd8a4aa0ca3e0f47bd6bf2547b5ab8809526cefd0","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.0078","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0xecc4207eb2232052011ff500d7f7e9da4e37de77f1212655d5695507b3f31d4f","1603521729","2020-10-24 06:42:09","0xe5730adb126dcc20dd00c866c57f26dad3cf92d4","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.00457314","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0x110c711172ac59de12df4ee6828d423d803ca6ef375ab06c9a151c9467015711","1603633689","2020-10-25 13:48:09","0x4ab5ed03e7ea50f1ea27a0a127a3a262e49d6587","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.017064911136242824","0x5bfe6ece3bf81cf6c0128ef54b7b57d02d4243e9","Ether","ETH",""
"0x02f5d75b821fdda980f1d46ff70c43ce01e38d4d48f8756b3790167ad60535ab","1603633860","2020-10-25 13:51:00","0x4ab5ed03e7ea50f1ea27a0a127a3a262e49d6587","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.016606650136242824","0x5bfe6ece3bf81cf6c0128ef54b7b57d02d4243e9","Ether","ETH",""
"0xcaf0ce4c4ba0ff2b7ca22020839de1afa38ba8d73f6ff1b635e2384407e1ddec","1603634405","2020-10-25 14:00:05","0x4ab5ed03e7ea50f1ea27a0a127a3a262e49d6587","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.016102563036242824","0x5bfe6ece3bf81cf6c0128ef54b7b57d02d4243e9","Ether","ETH",""
"0xf4568c89f7ec5605443484253deeb9d2ef2d9988fed7eec578655923a574bec6","1603634669","2020-10-25 14:04:29","0x4ab5ed03e7ea50f1ea27a0a127a3a262e49d6587","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.015598475936242824","0x5bfe6ece3bf81cf6c0128ef54b7b57d02d4243e9","Ether","ETH",""
"0x46f9aef093c9ed5f02579271cbc7fb2b771c23e61640a08f8fc92ab5a1b00eb2","1603634805","2020-10-25 14:06:45","0x4ab5ed03e7ea50f1ea27a0a127a3a262e49d6587","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.015091976936242824","0x5bfe6ece3bf81cf6c0128ef54b7b57d02d4243e9","Ether","ETH",""
"0x0bbfb74fd7f04b82405b71c9bb2870f0d9597b3814463e85e7c4db3fb5e88d86","1603634998","2020-10-25 14:09:58","0x4ab5ed03e7ea50f1ea27a0a127a3a262e49d6587","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.014578242236242824","0x5bfe6ece3bf81cf6c0128ef54b7b57d02d4243e9","Ether","ETH",""
"0xa5347ad31ca1745cfd99ca781c2f455f453fbbe539057543be8fb0b57ce60528","1603634998","2020-10-25 14:09:58","0x4ab5ed03e7ea50f1ea27a0a127a3a262e49d6587","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.014578242236242824","0x5bfe6ece3bf81cf6c0128ef54b7b57d02d4243e9","Ether","ETH",""
"0x45ce12a04859dccd644f5d350b87d2320eebcaa544ce2d78f53468e923642af5","1603634998","2020-10-25 14:09:58","0x4ab5ed03e7ea50f1ea27a0a127a3a262e49d6587","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.014578242236242824","0x5bfe6ece3bf81cf6c0128ef54b7b57d02d4243e9","Ether","ETH",""
"0x4a12f299174b234c938bb1e8a7e4f0e319565ca5e560d5ccce036bdcd9dfc90d","1603641689","2020-10-25 16:01:29","0x4ab5ed03e7ea50f1ea27a0a127a3a262e49d6587","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.012906795536242824","0x5bfe6ece3bf81cf6c0128ef54b7b57d02d4243e9","Ether","ETH",""
"0x240a6889c21c233c133847e41c346efef19885ee2e6cbcb33c522ec1db67ad39","1603642561","2020-10-25 16:16:01","0x4ab5ed03e7ea50f1ea27a0a127a3a262e49d6587","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.009356478736242824","0x5bfe6ece3bf81cf6c0128ef54b7b57d02d4243e9","Ether","ETH",""
"0x7b2d7e23498c352f71a98aa27cc0b68cd8ea746e77281c2de4ec46544d6413a2","1603643338","2020-10-25 16:28:58","0x4ab5ed03e7ea50f1ea27a0a127a3a262e49d6587","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0.008705265736242824","0x5bfe6ece3bf81cf6c0128ef54b7b57d02d4243e9","Ether","ETH",""
